#MAP3D
SIZE,20,8,20
START,16,1,14
GOAL,9,2,1

[FLOOR]
y,z,x,id,rot
0,17,5,1,2
0,17,6,1,0
0,17,7,1,2
0,17,8,1,1
0,17,10,1,0
0,17,11,1,3
0,17,12,1,0
0,17,13,1,0
0,18,7,1,1
0,18,10,1,0
0,18,11,1,2
0,18,12,1,3
0,19,8,1,0
0,19,9,1,2
0,19,10,1,2
0,19,11,1,3
1,6,2,1,1
1,7,2,1,1
1,7,3,1,0
1,7,5,1,3
1,7,14,1,1
1,7,15,1,1
1,7,16,1,2
1,8,2,1,1
1,8,5,1,3
1,8,6,1,2
1,8,7,1,2
1,8,8,1,2
1,8,9,1,2
1,8,10,1,2
1,8,11,1,2
1,8,12,1,2
1,8,13,1,2
1,8,14,1,1
1,8,16,1,3
1,8,17,1,3
1,8,19,1,2
1,9,2,1,1
1,9,3,1,0
1,9,5,1,3
1,9,6,1,3
1,9,13,1,1
1,9,14,1,2
1,9,17,1,3
1,9,19,1,1
1,10,2,1,1
1,10,3,1,0
1,10,5,1,3
1,10,6,1,3
1,10,14,1,1
1,10,15,1,1
1,10,17,1,3
1,10,19,1,1
1,11,2,1,1
1,11,4,1,0
1,11,5,1,3
1,11,6,1,3
1,11,14,1,1
1,11,15,1,1
1,11,19,1,1
1,12,2,1,1
1,12,6,1,0
1,12,7,1,0
1,12,8,1,3
1,12,14,1,1
1,12,15,1,0
1,12,19,1,1
1,13,3,1,0
1,13,4,1,0
1,13,7,1,2
1,13,8,1,3
1,13,19,1,1
1,14,1,1,1
1,14,2,1,1
1,14,4,1,0
1,14,6,1,3
1,14,7,1,3
1,14,13,1,1
1,14,18,1,0
1,14,19,1,1
1,15,1,1,1
1,15,3,1,2
1,15,4,1,0
1,15,6,1,2
1,15,7,3,1
1,15,8,3,0
1,15,9,3,0
1,15,10,3,0
1,15,11,3,0
1,15,12,3,3
1,15,13,1,1
1,15,15,1,3
1,15,18,1,2
1,15,19,1,1
1,16,1,1,1
1,16,3,1,1
1,16,5,3,3
1,16,6,1,3
1,16,7,3,1
1,16,12,3,3
1,16,13,1,1
1,16,15,1,0
1,16,16,1,0
1,16,17,1,0
1,16,18,1,3
1,16,19,1,3
1,17,2,1,1
1,17,3,1,2
1,17,4,1,2
1,17,5,1,2
1,17,14,1,2
1,17,15,1,2
1,17,16,1,2
1,17,17,1,2
1,17,18,1,0
1,18,12,3,3
2,1,4,1,0
2,1,5,1,0
2,1,6,1,0
2,1,7,1,0
2,1,8,1,0
2,1,9,1,0
2,1,10,1,0
2,1,11,1,0
2,1,12,1,0
2,1,13,1,0
2,1,14,1,0
2,1,15,1,0
2,2,2,1,1
2,2,3,1,1
2,2,4,1,0
2,2,5,1,1
2,2,7,1,1
2,2,8,1,0
2,2,9,1,0
2,2,14,1,1
2,2,16,3,0
2,2,17,1,3
2,3,2,1,1
2,3,3,1,1
2,3,4,1,1
2,3,6,1,0
2,3,7,1,0
2,3,8,1,0
2,3,9,1,0
2,3,11,1,1
2,3,17,1,3
2,4,2,1,1
2,4,8,1,0
2,4,12,1,1
2,4,13,1,1
2,4,17,1,3
2,5,2,1,1
2,5,6,1,0
2,5,11,1,1
2,5,13,1,0
2,5,14,1,1
2,5,17,1,3
2,6,5,1,2
2,6,6,1,2
2,6,7,1,0
2,6,8,1,2
2,6,9,1,2
2,6,10,1,2
2,6,11,1,2
2,6,12,1,2
2,6,13,1,2
2,6,14,1,2
2,7,2,1,1
2,7,3,1,0
2,7,15,1,3
2,8,3,1,2
2,8,10,1,2

[WALL_B]
y,z,x,id,rot
0,17,6,1,2
0,17,7,1,0
0,17,12,1,2
0,17,13,1,2
0,18,11,1,0
0,19,9,1,0
1,7,15,1,3
1,9,14,1,1
1,9,19,1,3
1,10,19,1,3
1,15,7,1,3
1,15,19,1,3
1,16,19,1,1
1,17,3,3,0
1,17,5,3,0
1,17,15,1,0
1,17,16,1,0
1,17,17,1,1
1,17,18,1,2
2,1,6,1,1
2,1,9,1,1
2,1,10,1,2
2,1,11,1,2
2,1,12,1,2
2,1,14,1,1
2,1,15,3,1
2,3,9,1,1
2,6,5,1,0
2,6,6,1,0
2,6,7,1,2
2,6,9,1,1
2,6,11,1,1
2,6,14,1,1
2,7,3,1,2
2,7,15,1,1

[CORNER]
y,z,x,id,rot,scale,thickness,offset
0,15,8,2,1,100,100,0
0,15,11,2,0,100,100,0
0,17,2,2,2,100,100,0
0,19,8,2,2,100,100,0
0,19,11,2,3,100,100,0
1,7,16,2,0,100,100,0
1,9,5,2,1,100,100,0
1,9,14,2,0,100,100,0
1,11,17,2,2,100,410,0
1,11,18,2,3,100,500,0
1,12,16,2,2,100,450,0
1,12,19,2,3,100,430,0
1,13,2,2,1,100,100,0
1,13,5,2,0,100,100,0
1,13,14,2,1,100,340,0
1,13,17,2,0,110,490,0
1,14,15,2,1,100,280,0
1,15,4,2,0,100,100,0
1,15,16,2,3,100,270,0
1,17,2,2,2,100,100,0
1,17,17,2,3,100,100,0
1,17,19,2,3,100,100,0
2,1,3,2,1,100,100,0
2,1,16,2,0,100,100,0
2,2,6,2,2,100,100,0
2,2,10,2,0,100,100,0
2,2,12,2,1,100,100,0
2,3,14,2,1,100,100,0
2,4,5,2,0,100,100,0
2,4,7,2,1,100,100,0
2,4,10,2,0,100,100,0
2,5,4,2,0,100,100,0
2,5,7,2,2,100,100,0
2,5,9,2,1,100,100,0
2,6,3,2,2,100,100,0
2,6,16,2,3,120,100,0

[DECO]
y,z,x,id,rot
0,17,6,5,1
0,17,13,5,3
1,7,4,5,0
1,7,15,5,0

[COLLISION]
y,z,x,block

[COLLISION_EDGE]
y,z,x,mask,s0,s1,s2,s3,t0,t1,t2,t3
0,13,14,2,100,110,100,100,100,100,100,100
0,17,7,5,100,100,100,100,100,100,100,100
0,17,8,1,100,100,100,100,100,100,100,100
0,17,12,5,90,100,100,100,200,100,190,100
0,17,13,5,100,100,100,100,180,100,210,100
1,7,15,2,100,100,100,100,100,100,100,100
1,7,16,8,100,100,100,100,100,100,100,100
1,17,6,5,100,100,100,100,100,100,100,100
1,17,13,5,100,100,100,100,220,100,200,100
2,7,14,2,100,200,100,100,100,100,100,100
2,7,15,8,100,100,100,60,100,100,100,230
2,7,16,8,100,100,100,140,100,100,100,260
2,8,15,8,100,100,100,100,100,100,100,120
2,8,16,8,100,100,100,100,100,100,100,130

[EVENT]
y,z,x,id
1,14,16,0
2,1,9,1
